ticker,date,text,likes,retweets
TSLA,2025-08-01 20:32:39+00:00,"@HolySmokas Dont be foolish with nonsense, you are to good for that, this will go to a higher court, certainly not finish, quit with the , i win you lose with the tsla stock, just stop",1,0
TSLA,2025-08-01 20:28:00+00:00,The only thing holding $tsla stock down is…………the safety drivers/safety riders. Once they go away……..sky is the limit for @tsla.,0,0
TSLA,2025-08-01 20:14:54+00:00,"Need some advice

Would you guys think to sell some of your $TSLA stock to buy a Tesla? 

I am considering this, but keep having battles in my head to not do it",0,0
TSLA,2025-08-01 20:11:58+00:00,"@elonmusk @SawyerMerritt Yes, fight this. We can’t have TSLA stock going down any further. 😂",1,0
TSLA,2025-08-01 20:10:53+00:00,"Is that a live ticker of the $tsla stock, 30 % off? https://t.co/oCjFZ1Su1r",1,0
TSLA,2025-08-01 20:08:32+00:00,"@grok @FlyingVVFlying @jakeshieldsajj @elonmusk I think it’s time to sell my TSLA stock.
@elonmusk 

You are putting this shit in our cars?
Lmao.

Ok.",2,2
TSLA,2025-08-01 20:06:53+00:00,Wow $NIO one of the only green tickers out there. Many sold their $TSLA shares today to jump in $NIO. They will be rewarded. Great week now time to eat! https://t.co/Ec0KHtzO3x,9,0
TSLA,2025-08-01 19:51:28+00:00,"@Entertained_1 @mmomboisse Amazing tsla stock is still above 300, for how long I wonder.",1,0
TSLA,2025-08-01 19:46:46+00:00,"@TeslaBoomerMama Im hoping for all but no way Elon buy back $tsla shares.
Probably a mix of A and B.",2,1
TSLA,2025-08-01 19:24:54+00:00,"@lickitysplit_7 correct /
at least with drones etc, you can get direct drone exposure

there are scenarios that optimus does great but tsla stock is still down",1,0
TSLA,2025-08-01 18:56:06+00:00,"This award essentially negates the profits from around 40,000 FSD sales, which is a significant chunk of what Tesla sells in a year.

And to think that Musk said (before he scampered to create fake robots) that THIS deadly product is the only reason to own $TSLA stock! https://t.co/OGmsuo8iXi",31,6
TSLA,2025-08-01 18:54:50+00:00,@IncomeSharks I'm still in the green with all my $TSLA stock. This does look like a fine buying opportunity though....  See ya on Monday!,0,0
TSLA,2025-08-01 18:45:30+00:00,I’m calling it again…  Earlier last year in August I called that $TSLA would bottom when it was $180 and shortly after it ran to $440+  Now $TSLA is setting up exactly like last time.  This time I predict $TSLA stock price will hit $500+ by September 2025.  Mark my words…,0,0
TSLA,2025-08-01 18:32:28+00:00,"@DocTesla83 @LarryTal101 That extinguished that toxic $12 billion in Twitter acquisition debt.

As of the end of last year, Musk had $71 billion in personal loans collateralized by $TSLA stock.",0,0
TSLA,2025-08-01 18:28:20+00:00,The $TSLA stock price is currently:,2,0
TSLA,2025-08-01 18:18:23+00:00,"Elon Musk is welcome to vote my $TSLA shares.

Can I sign him up as a permanent proxy holder?

@TeslaBoomerMama",146,1
TSLA,2025-08-01 18:13:21+00:00,"@TeslaBoomerMama @elonmusk @teslaownersSV @elonmusk We, as retail investors, fully support you and Tesla. However, we ask that you be mindful of the TSLA price, as we have our bills to pay and families to support. 🙏👊🌹",0,0
TSLA,2025-08-01 17:59:48+00:00,"Still guessing when to buy or sell Tesla? 👀
CTI gives you real-time trading signals, tested and trusted.
Try it for 1 month FREE — no strings attached.

💬 DM us “CTI” to get started today

https://t.co/VcaujyPx0w

#TeslaSignals #CTITrial #TradeSmarter #proceedit https://t.co/F2J8zAs8o9",1,0
TSLA,2025-08-01 17:55:15+00:00,@disclosetv Too little too late. Elon already played into the lie that “Trump is a p*do”. Elon can fuck himself in the face as far as I’m concerned. Should focus on his plummeting $TSLA stock.,1,0
TSLA,2025-08-01 17:40:06+00:00,"The gain on Tesla $TSLA stock is 0% if you invested in the the first week of Jan 2021.

The status of Tesla $TSLA stock as a ""buy and hold"" investment is currently a subject of intense debate among investors and analyst .

The opportunity cost lost by sticking to Tesla over the https://t.co/qUl2xayp3d",0,0
TSLA,2025-08-01 17:33:24+00:00,"@BogdanLazarec @aboongm1 Fact that dithering buffoon Elon Musk 🤡 is unable to produce and sell a proper 7-seater Tesla SUV for under $30,000 like the Chinese can proves that Tesla’s “economies of scale and vertical integration” are bogus / vaporware. Why $TSLA stock is stuck where it was 58 months ago. https://t.co/8PqG2IEYZs",0,0
TSLA,2025-08-01 17:32:44+00:00,"Fact that dithering buffoon Elon Musk 🤡 is unable to produce and sell a proper 7-seater Tesla SUV for under $30,000 like Nio $NIO can proves that Tesla’s “economies of scale and vertical integration” are bogus / vaporware. Why $TSLA stock is stuck where it was 58 months ago. https://t.co/8PqG2IFwP0",1,1
TSLA,2025-08-01 17:32:15+00:00,"@alc2022 $TSLA stock has been trading sideways for 4 years inspite of the cars driving themselves now. There, corrected it for you.",2,0
TSLA,2025-08-01 17:31:53+00:00,"Fact that dithering buffoon Elon Musk 🤡 is unable to produce and sell a proper 7-seater Tesla SUV for under $30,000 like the Chinese can proves that Tesla’s “economies of scale and vertical integration” are bogus / vaporware. Why $TSLA stock is stuck where it was 58 months ago. https://t.co/8q8nKSNTe8",6,2
